question_id,category,source_type,source_work,source_reference,verification_status,consensus_status
prophets_001,prophets,quran,Quran,11:37-38,verified,nonControversial
prophets_002,prophets,quran,Quran,21:69,verified,nonControversial
prophets_003,prophets,quran,Quran,37:142,verified,nonControversial
prophets_004,prophets,quran,Quran,12:43-49,verified,nonControversial
prophets_005,prophets,quran,Quran,4:164,verified,nonControversial
prophets_006,prophets,quran,Quran,27:16,verified,nonControversial
prophets_007,prophets,quran,Quran,17:55,verified,nonControversial
prophets_008,prophets,quran,Quran,3:47,verified,nonControversial
prophets_009,prophets,quran,Quran,19:16,verified,nonControversial
prophets_010,prophets,quran,Quran,21:83-84,verified,nonControversial
prophets_011,prophets,quran,Quran,2:34,verified,nonControversial
prophets_012,prophets,quran,Quran,4:125,verified,nonControversial
prophets_013,prophets,quran,Quran,12:15,verified,nonControversial
prophets_014,prophets,quran,Quran,11:37-44,verified,nonControversial
prophets_015,prophets,quran,Quran,26:63,verified,nonControversial
prophets_016,prophets,quran,Quran,21:78-79,verified,nonControversial
prophets_017,prophets,quran,Quran,20:38-39,verified,nonControversial
prophets_018,prophets,quran,Quran,7:73,verified,nonControversial
sira_001,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_002,sira,quran,Quran,105:1-5,verified,nonControversial
sira_003,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_004,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_005,sira,quran,Quran,2:97,verified,nonControversial
sira_006,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_007,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_008,sira,quran,Quran,9:40,verified,nonControversial
sira_009,sira,quran,Quran,3:123,verified,nonControversial
sira_010,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_011,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_012,sira,quran,Quran,2:185,verified,nonControversial
sira_013,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_014,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_015,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_016,sira,quran,Quran,17:1,verified,nonControversial
sira_017,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_018,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
quran_001,quran,quran,Quran,1:1-7,verified,nonControversial
quran_002,quran,quran,Quran,well-established count (114 surahs),verified,nonControversial
quran_003,quran,quran,Quran,well-established (Al-Baqarah is the longest surah),verified,nonControversial
quran_004,quran,quran,Quran,108:1-3,verified,nonControversial
quran_005,quran,quran,Quran,12:2,verified,nonControversial
quran_006,quran,quran,Quran,19:1-16,verified,nonControversial
quran_007,quran,quran,Quran,well-established terminology,verified,nonControversial
quran_008,quran,quran,Quran,well-established terminology,verified,nonControversial
quran_009,quran,hadithBukhari,Sahih al-Bukhari,756,verified,nonControversial
quran_010,quran,quran,Quran,well-established (revealed to Muhammad ﷺ),verified,nonControversial
faith_001,faith,hadithBukhari,Sahih al-Bukhari,8,verified,nonControversial
faith_002,faith,hadithBukhari,Sahih al-Bukhari,8,verified,nonControversial
faith_003,faith,hadithBukhari,Sahih al-Bukhari,8,verified,nonControversial
faith_004,faith,hadithBukhari,Sahih al-Bukhari,8,verified,nonControversial
faith_005,faith,quran,Quran,2:183,verified,nonControversial
faith_006,faith,quran,Quran,3:97,verified,nonControversial
faith_007,faith,quran,Quran,2:144,verified,nonControversial
faith_008,faith,hadithMuslim,Sahih Muslim,8,verified,nonControversial
virtues_001,virtues,hadithBukhari,Sahih al-Bukhari,6018,verified,nonControversial
virtues_002,virtues,hadithBukhari,Sahih al-Bukhari,6018,verified,nonControversial
virtues_003,virtues,hadithBukhari,Sahih al-Bukhari,6018,verified,nonControversial
virtues_004,virtues,hadithBukhari,Sahih al-Bukhari,13,verified,nonControversial
virtues_005,virtues,hadithBukhari,Sahih al-Bukhari,10,verified,nonControversial
virtues_006,virtues,quran,Quran,17:23-24,verified,nonControversial
prophets_019,prophets,quran,Quran,2:31,verified,nonControversial
prophets_020,prophets,quran,Quran,19:29-30,verified,nonControversial
prophets_021,prophets,quran,Quran,2:127,verified,nonControversial
prophets_022,prophets,quran,Quran,19:7,verified,nonControversial
prophets_023,prophets,quran,Quran,20:19-20,verified,nonControversial
prophets_024,prophets,quran,Quran,12:4,verified,nonControversial
prophets_025,prophets,quran,Quran,7:65,verified,nonControversial
prophets_026,prophets,quran,Quran,7:85,verified,nonControversial
prophets_027,prophets,quran,Quran,21:87,verified,nonControversial
prophets_028,prophets,quran,Quran,18:60-82,verified,nonControversial
prophets_029,prophets,quran,Quran,well-established (Musa is the most-mentioned prophet by name),verified,nonControversial
prophets_030,prophets,quran,Quran,well-established count (25 prophets named in the Quran),verified,nonControversial
prophets_031,prophets,quran,Quran,3:49,verified,nonControversial
prophets_032,prophets,quran,Quran,29:14,verified,nonControversial
quran_011,quran,quran,Quran,2:255,verified,nonControversial
quran_012,quran,quran,Quran,well-established (At-Tawba opens without the basmala),verified,nonControversial
quran_013,quran,quran,Quran,2:282,verified,nonControversial
quran_014,quran,quran,Quran,96:1-5,verified,nonControversial
quran_015,quran,quran,Quran,97:3,verified,nonControversial
quran_016,quran,quran,Quran,well-established terminology (al-mu'awwidhatan: 113 & 114),verified,nonControversial
quran_017,quran,quran,Quran,well-established division (30 ajza'),verified,nonControversial
quran_018,quran,quran,Quran,well-established count (Al-Fatiha: 7 verses),verified,nonControversial
quran_019,quran,quran,Quran,57:25,verified,nonControversial
quran_020,quran,quran,Quran,12:3,verified,nonControversial
quran_021,quran,quran,Quran,well-established count (Al-Baqarah: 286 verses),verified,nonControversial
quran_022,quran,quran,Quran,112:1-4,verified,nonControversial
quran_023,quran,quran,Quran,well-established (revelation over about 23 years),verified,nonControversial
quran_024,quran,quran,Quran,3:96,verified,nonControversial
sira_019,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_020,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_021,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_022,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_023,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_024,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_025,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_026,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_027,sira,sira,Sira,well-established terminology (al-Ansar),verified,nonControversial
sira_028,sira,sira,Sira,well-established terminology (al-Muhajirun),verified,nonControversial
sira_029,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_030,sira,sira,Sira,well-established (first qibla; change commanded in Quran 2:142-144),verified,nonControversial
faith_009,faith,quran,Quran,5:6,verified,nonControversial
